Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Chambres;Nombre de Salles de Bain;Etage;Terrasse;Garage;Ascenseur;Piscine;Securite
agadir;haut founty;1750000.0;appartement;107.0;2.0;2.0;5.0;0;0;1;0;1
agadir;founti;1282240.0;local commercial;110.0;0.0;1.0;1.0;0;0;0;0;1
agadir;al wifaq;250000.0;local commercial;188.0;0.0;3.0;1.0;0;0;1;0;1
agadir;ben serguaou;13900000.0;riad;430.0;5.0;4.0;0.0;1;1;0;1;1
agadir;charaf;2200000.0;appartement;150.0;8.0;2.0;3.0;1;1;1;0;0
agadir;hay houda;840000.0;appartement;70.0;2.0;2.0;3.0;0;1;1;0;1
agadir;abattoirs;896000.0;local commercial;64.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;935000.0;appartement;85.0;3.0;2.0;3.0;0;1;1;1;1
agadir;ben serguaou;3900000.0;villa;310.0;4.0;4.0;0.0;1;1;0;1;1
agadir;charaf;2920000.0;maison;150.0;3.0;2.0;0.0;1;1;0;0;0
agadir;hay houda;1320000.0;appartement;96.0;3.0;2.0;3.0;0;1;1;1;1
agadir;hay houda;935000.0;appartement;69.0;2.0;2.0;3.0;0;1;1;1;1
agadir;hay salam;850000.0;appartement;83.0;2.0;1.0;3.0;0;0;1;0;0
agadir;founti;2290000.0;appartement;102.0;2.0;1.0;3.0;1;1;1;1;1
agadir;secteur touristique;3900000.0;local commercial;180.0;0.0;1.0;0.0;0;0;0;0;0
agadir;illigh;4900000.0;villa;270.0;3.0;1.0;0.0;0;0;0;0;0
agadir;illigh;9000000.0;terrain;1787.0;0.0;0.0;0.0;0;0;0;0;0
agadir;tilila;21000.0;terrain;300.0;0.0;0.0;0.0;0;0;0;0;0
agadir;taddart;1325000.0;local commercial;33.0;0.0;1.0;0.0;0;1;0;0;1
agadir;abattoirs;1700000.0;maison;80.0;3.0;1.0;0.0;1;0;0;0;0
agadir;hay mohammadi;1050000.0;appartement;70.0;2.0;2.0;2.0;1;1;1;0;1
agadir;secteur touristique;6550000.0;appartement;240.0;3.0;4.0;3.0;1;1;1;0;0
agadir;hay massira;1680000.0;appartement;97.0;3.0;3.0;3.0;1;1;1;0;1
agadir;al wifaq;450000.0;local commercial;26.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;3300000.0;maison;300.0;6.0;4.0;0.0;1;0;0;0;1
agadir;founti;3740000.0;terrain;312.0;0.0;0.0;0.0;0;0;0;0;0
agadir;secteur touristique;5500000.0;villa;350.0;6.0;6.0;0.0;1;1;0;1;0
agadir;hay houda;875000.0;appartement;66.0;2.0;2.0;3.0;0;1;1;1;1
agadir;abattoirs;854000.0;local commercial;61.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;1320000.0;appartement;96.0;3.0;2.0;3.0;0;1;1;1;1
agadir;hay houda;1000000.0;local commercial;33.0;0.0;1.0;0.0;0;1;1;0;1
agadir;abattoirs;994000.0;local commercial;71.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;985000.0;appartement;78.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay houda;805000.0;appartement;67.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay houda;901000.0;appartement;71.0;2.0;2.0;3.0;0;1;1;0;1
agadir;secteur touristique;1650000.0;appartement;119.0;3.0;2.0;2.0;0;0;1;0;1
agadir;hay mohammadi;5550000.0;terrain;1092.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;1280000.0;appartement;110.0;3.0;2.0;2.0;0;1;1;0;1
agadir;illigh;7140000.0;terrain;1190.0;0.0;0.0;0.0;0;0;0;0;0
agadir;founti;7600000.0;villa;361.0;3.0;3.0;0.0;0;0;0;1;0
agadir;founti;9000000.0;villa;960.0;4.0;3.0;0.0;0;1;0;1;0
agadir;hay zaytoun;3000000.0;maison;260.0;3.0;2.0;0.0;0;0;0;0;0
agadir;al wifaq;2600000.0;maison;120.0;3.0;1.0;0.0;0;0;0;0;0
agadir;illigh;7400000.0;terrain;1100.0;0.0;0.0;0.0;0;0;0;0;0
agadir;haut founty;1100000.0;appartement;67.0;2.0;1.0;4.0;0;0;1;0;0
agadir;hay mohammadi;1000000.0;appartement;71.0;2.0;2.0;3.0;1;1;1;0;0
agadir;hay houda;3300000.0;maison;98.0;4.0;5.0;0.0;1;1;0;0;1
agadir;hay mohammadi;700000.0;appartement;36.0;2.0;2.0;3.0;0;0;0;0;0
agadir;hay mohammadi;1100000.0;appartement;110.0;2.0;2.0;5.0;1;1;1;1;1
agadir;abattoirs;780000.0;local commercial;52.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay dakhla;630000.0;bureau;63.0;0.0;1.0;3.0;0;0;0;0;1
agadir;abattoirs;3950000.0;appartement;300.0;5.0;3.0;3.0;1;1;0;1;1
agadir;founti;2950000.0;appartement;134.0;3.0;3.0;3.0;1;0;1;1;1
agadir;hay houda;1450000.0;appartement;132.0;2.0;2.0;3.0;1;0;1;0;1
agadir;founti;1790000.0;bureau;73.0;0.0;1.0;4.0;1;1;1;0;1
agadir;secteur touristique;2100000.0;appartement;85.0;2.0;1.0;3.0;1;0;0;1;0
agadir;hay mohammadi;750000.0;terrain;56.0;0.0;0.0;0.0;0;0;0;0;0
agadir;founti;7500000.0;villa;350.0;3.0;3.0;0.0;0;0;0;0;0
agadir;talborjt;1600000.0;local commercial;71.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;907000.0;appartement;71.0;2.0;2.0;3.0;0;1;1;0;1
